Label,Gene,Pbr042506.1,Pbr016137.1,Pbr022822.1,Pbr023248.1,Pbr013848.1,Pbr022238.1,Pbr041114.1,Pbr013913.1,Pbr005758.2,Pbr032130.1,Pbr009578.1,Pbr012599.1,Pbr038992.1,Pbr000122.1,Pbr003862.1,Pbr004949.1,Pbr030647.2,Pbr027964.1,Pbr038548.1,Pbr040466.1,Pbr042755.1,Pbr016552.1,Pbr016129.1,Pbr029306.1,Pbr019141.1,Pbr016048.1,Pbr013912.1,Pbr041367.1,Pbr018463.1,Pbr042345.1,Pbr002193.1,Pbr015533.1,Pbr000214.1,Pbr031946.1,Pbr035996.1,Pbr005387.1,Pbr035075.1,Pbr039217.1,Pbr028511.1,Pbr037514.1,Pbr038549.1,Pbr042309.1,Pbr015008.1,Pbr032775.1,Pbr042781.1,Pbr019852.2,Pbr015752.1,Pbr007727.1,Pbr037511.1,Pbr016221.1,Pbr038418.1,Pbr018930.1,Pbr032771.1,Pbr019270.1,Pbr006178.1,Pbr032770.1,Pbr031750.1,Pbr018465.1,Pbr034839.1,Pbr003394.1,eccentricity,closeness,degree,eigen_centrality,b-114,b-15,b-45,b-75,b-90,c-101,c-120,c-15,c-45,c-75,c-90,d-110,d-120,d-145,d-15,d-45,d-75,d-90,f-101,f-117,f-130,f-15,f-45,f-75,k-120,k-135,k-15,k-45,k-75,k-92,n-125,n-15,n-45,n-75,n-90,z-101,z-120,z-15,z-45,z-75,z-90,Y-P1,YRT-P3,YRT-P4,YRT-P5,YRT-P6,YRB-P3,YRB-P4,YRB-P5,YRB-P6,YR-P2,CSL15,CSL35,CSL55,CSR15,CSR35,CSR55,DSL15,DSL35,DSL55,DSR15,DSR35,DSR55,SNS25,SNS35,SNS45,SNS65,SNS95,103DAB_Qiushui,103DAB_Zaoshengxinshui,103DAB_ZQ65,103DAB_ZQ82,110DAB_Qiushui,110DAB_Zaoshengxinshui,110DAB_ZQ65,110DAB_ZQ82,75DAB_Qiushui,75DAB_Zaoshengxinshui,75DAB_ZQ65,75DAB_ZQ82,82DAB_Qiushui,82DAB_Zaoshengxinshui,82DAB_ZQ65,82DAB_ZQ82,89DAB_Qiushui,89DAB_Zaoshengxinshui,89DAB_ZQ65,89DAB_ZQ82,96DAB_Qiushui,96DAB_Zaoshengxinshui,96DAB_ZQ65,96DAB_ZQ82,CK1,CK14,CK3,CK5,CK7,GA1,GA14,GA3,GA5,GA7,P0,DS4W,DS6W,DS8W,DS10W,DS12W,DS14W,DS16W,DS18W,DS20W,DS22W,DS24W,DAF15-1,DAF15-2,DAF25-1,DAF25-2,DAF55-1,DAF55-2,DAF85-1,DAF85-2,DAF115-1,DAF115-2,DAF145-1,DAF145-2,FT 15d,FT 25d,FT 55d,FT 85d,FT 115d,FS 145d
1,Pbr042506.1,0.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.4482057636273874,364,0.0156203391432579,6.23515,0.2411766666666666,0.0171782333333333,0.6129496666666666,0.1987151666666666,7.468406666666667,13.5071,0.1336406666666666,0.1639216333333333,0.862251,2.905203333333333,1.1173633333333333,4.02723,6.72338,0.1696084333333333,0.0841300333333333,0.1101642666666666,0.2145493333333333,7.92225,6.004546666666666,17.512166666666666,0.227634,0.1048719999999999,0.1209101333333333,3.04317,5.562976666666667,0.3674776666666667,0.0990123,0.2766616666666667,0.716709,7.735943333333333,0.6014496666666667,0.914653,6.236206666666666,7.337470000000001,1.77869,2.6118533333333334,0.1409664333333333,0.238397,0.1273851666666666,0.3638553333333333,0.4141066666666667,0.1673523333333333,1.97907,6.856466666666667,10.269836666666668,0.3188816666666667,1.073386333333333,5.890226666666667,7.29635,0.175755,0.1749186666666666,0.1730406666666666,0.0860901666666666,0.2989963333333333,0.1357,0.1650753333333333,0.0568319333333333,0.0200744666666666,0.0470511666666666,0.1890524333333333,0.0281843333333333,0.0797298,0.0214810333333333,0.0332249,0.0348624666666666,0.0425884333333333,0.0104845666666666,8.493030000000001,12.042286666666666,17.8819,16.0858,8.355996666666666,14.118033333333331,15.8257,12.8972,2.8569766666666667,0.7513476666666666,6.41505,4.81914,3.9711533333333335,1.9991033333333328,8.83817,5.98782,4.897383333333333,5.194043333333333,13.2424,10.5211,5.8652066666666665,8.112613333333332,11.5429,13.7099,0.4650081666666666,0.6621636666666667,0.408307,0.6243196666666667,0.5182386666666666,0.3684338333333333,0.4031753333333333,0.4364686666666666,0.7422555,0.5570906666666666,0.4363166666666667,0.12039,0.0742362333333333,0.1388495333333333,0.0562363333333333,0.137234,0.3209823333333333,1.1769723333333333,1.8626166666666664,1.3627733333333334,1.89528,2.113723333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.795240271852263,8.395763091163671
1,Pbr016137.1,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,0.4474953366773947,290,0.0098745858150676,233.6363333333333,106.886,126.10933333333334,244.02166666666668,136.47466666666668,201.94933333333333,210.03066666666663,186.7373333333333,165.06266666666667,169.52666666666667,225.97966666666667,127.18833333333332,128.72966666666667,182.784,152.93933333333334,129.134,139.436,123.80266666666668,188.7423333333333,195.77866666666665,263.8386666666667,169.107,175.83733333333333,182.37133333333333,161.38366666666667,175.92033333333333,176.697,83.38210000000001,108.60833333333332,181.74733333333333,260.00333333333333,103.91433333333332,120.215,227.28766666666667,289.8963333333333,276.7246666666667,268.88166666666666,113.61233333333334,229.355,226.96833333333333,231.61,158.81433333333334,160.111,136.749,213.512,260.7593333333333,165.978,128.92466666666667,209.939,227.47566666666663,154.704,128.574,114.91366666666669,77.02966666666667,130.28166666666667,129.704,83.32833333333333,90.1433,123.024,67.75833333333333,111.2098,130.26233333333334,74.94536666666667,128.48666666666668,125.52466666666668,86.55203333333333,109.0027,114.57933333333334,279.93466666666666,248.73766666666668,341.977,275.983,277.71233333333333,247.186,299.433,250.258,183.92766666666665,184.156,225.328,199.575,222.92866666666663,227.41966666666667,262.154,287.943,253.30266666666665,253.42166666666665,290.83,273.166,231.5763333333333,226.42266666666663,277.849,277.199,142.08333333333334,143.33033333333333,157.65466666666666,161.17166666666665,155.49866666666668,163.955,169.34666666666666,156.5596666666667,159.538,172.23933333333335,176.761,115.734,90.9356,61.951033333333335,41.58473333333333,50.195033333333335,52.25073333333333,66.42446666666666,53.5005,45.13176666666666,47.29473333333333,50.47143333333333,19.293093,19.739302,16.369486,14.942548,14.683414,12.816421,16.293098,16.793289,9.743994,10.342125,8.923246,12.284654,11.085896811135152,10.98382918107429,10.977220446639961,11.161397952548793,11.157366091765294,11.237719631998766
0,Pbr022822.1,2.0,2.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,0.4349349490395002,84,0.0152297766175923,5.37119,6.663433333333333,1.822,3.196803333333333,1.0960313333333334,14.577766666666667,17.4616,34.2792,13.382466666666668,12.139733333333334,11.248033333333334,17.1174,21.343166666666665,13.1099,30.255466666666667,29.74963333333333,18.640166666666666,15.813366666666669,15.180466666666668,11.9434,18.179166666666667,33.37983333333333,13.653566666666666,13.381866666666664,12.329333333333334,11.2758,19.286266666666663,5.034956666666667,13.0004,9.940173333333334,11.839356666666667,13.103966666666668,14.169366666666669,11.3834,13.2054,4.283266666666667,3.99936,9.410603333333334,4.6310400000000005,4.364766666666667,3.9530266666666662,29.026066666666665,8.269063333333333,11.117006666666668,7.68277,10.934946666666669,9.725693333333334,8.848253333333334,8.73939,16.904533333333333,17.09786666666667,23.44643333333333,18.3219,20.40093333333333,22.1564,14.6017,21.17063333333333,45.51316666666667,30.509666666666668,33.69003333333333,38.2893,26.49083333333333,30.2734,11.146166666666666,11.8642,14.6033,12.380366666666667,8.691103333333334,12.621466666666668,17.671933333333335,16.5622,12.8097,14.890966666666666,18.2075,25.3819,17.8103,9.694033333333334,9.334976666666668,7.57003,9.814,14.177933333333334,14.058,14.9531,11.4828,17.189666666666668,17.8585,19.1448,15.2564,14.7189,18.649966666666668,23.051,15.1479,61.5755,81.7694,46.08813333333333,37.174166666666665,36.954366666666665,35.23956666666667,37.6529,43.892,32.5733,31.714366666666667,45.3913,16.136266666666668,20.8146,23.1171,14.817,19.8157,16.1035,12.362016666666667,16.0408,11.899466666666669,7.8559,10.189476666666666,32.482143,37.889668,13.179715,13.369528,2.709115,3.259806,3.559631,4.4145,0.357326,0.583815,0.545838,0.052724,9.456912353897456,9.313255404396157,9.216588111339254,9.161188257281896,8.676391785306206,8.915827059959254
1,Pbr023248.1,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.4564418024625637,652,0.077249687292226,0.0768406666666666,12.9347,0.0589053666666666,0.1313718,0.0561859,0.1455010666666666,0.2020873333333333,0.211587,0.0223464666666666,0.0,0.1093900666666666,0.0921933,0.1689463333333333,0.2750583333333333,0.0663611666666666,0.1405476666666666,0.1383459666666666,0.777395,0.0215814333333333,0.0705654666666666,0.386643,0.718496,0.0354815666666666,0.0205560333333333,2.10618,4.369976666666667,0.1094948333333333,0.4211776666666667,6.104183333333333,0.216503,26.155083,0.1051946666666666,1.7247733333333335,57.638675,38.25783333333333,0.590999,0.2292263333333333,103.4233,0.134295,0.0887529,0.0702609333333333,12.168166666666666,0.0505661666666666,0.0,0.0,0.0077243,0.0564313666666666,0.0072308666666666,0.0,1.6695600333333334,0.0235545666666666,0.0182803666666666,0.0105992333333333,0.0707320666666666,0.0091895333333333,0.0270638666666666,0.0875053333333333,0.136796,0.0710038333333333,0.383129,0.0973061666666666,0.0812576666666666,0.1217408333333333,0.1033479333333333,0.0204118666666666,0.1415116666666666,0.1797544666666666,0.0305030666666666,0.4626343333333333,0.9796276666666668,10.0274,1.54876,0.8389696666666667,2.57951,6.25677,0.491995,0.1338911,0.2384576666666666,0.29985,0.0826564,0.1670118333333333,0.9770966666666668,2.58398,0.798234,0.3147480333333333,0.6035003333333333,2.16852,0.745613,0.2006606666666666,1.2692006666666666,1.99143,0.232801,56.12893083333333,110.21616666666668,1.422486,0.6347913333333334,2.683475333333333,2.647921333333333,4.634517333333333,0.444754,0.386435,0.5306026666666667,0.484454,0.1193965666666666,0.1267123333333333,0.320673,0.1367836666666666,0.2875286666666666,0.1895666666666666,0.5696466666666666,0.899999,0.5830593333333334,1.2877466666666666,0.657821,1.226824,1.547697,2.812679,3.872203,4.96367,2.772035,4.143058,6.521838,8.872854,10.795638,4.567347,7.108981,0.0,8.382395310470892,0.0,0.0,0.0,8.33953094072791
0,Pbr013848.1,2.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,0.4201504523552418,101,0.0089280226496087,3.4911533333333336,6.398976666666667,10.232393333333333,5.426113333333333,3.614313333333333,4.34247,3.350083333333333,18.5469,11.711733333333331,6.224866666666667,4.8543666666666665,4.41306,4.852473333333333,2.8578,9.64554,9.265833333333331,7.8125,2.4509133333333333,5.309143333333333,3.62514,2.944796666666667,15.434933333333332,11.724766666666667,7.313096666666667,3.9232466666666665,3.9658266666666666,17.8436,10.31201,6.043283333333333,3.93215,4.549136666666667,21.926366666666667,11.746366666666669,4.956263333333333,6.14058,4.481843333333333,4.8218733333333335,8.71573,5.96569,5.48646,3.67004,12.7967,5.84069,5.462103333333333,3.5925566666666664,4.269083333333334,6.455556666666666,5.27607,3.57218,5.451973333333333,13.368233333333333,8.912196666666667,6.51078,5.886336666666667,7.585566666666666,5.252706666666667,5.690136666666667,7.89658,7.95139,8.35896,7.231323333333333,7.435936666666667,6.78148,4.307976666666667,8.398503333333332,17.986833333333333,12.373133333333334,5.421536666666666,3.7191366666666665,3.2332266666666665,2.39092,2.6484,3.4287166666666664,2.9348633333333334,2.90862,3.25989,3.8711033333333336,3.356723333333333,2.48148,2.92129,4.96096,4.0856200000000005,2.92086,2.23176,5.594496666666667,3.57124,2.43063,3.30206,4.009633333333333,3.59119,2.5226,2.82237,10.229668333333333,10.8743,10.120616666666669,8.83327,11.0011,10.763026666666669,13.904966666666668,9.278063333333334,7.981685000000001,10.10971,13.010966666666668,3.5890766666666667,5.369266666666666,5.583826666666667,2.72734,1.8587366666666665,1.342693666666667,1.2260556666666669,1.0148653333333333,0.797134,0.538832,0.731438,2.272297,1.655165,1.518066,1.14866,0.995403,1.517179,2.159711,1.298288,1.660942,1.915062,1.425564,1.437735,9.33715964472667,9.380482591155824,9.281783071733434,9.283640389026386,9.317185507824654,9.100783962420218
0,Pbr022238.1,2.0,2.0,3.0,2.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,0.3631536428308117,38,0.0018561894144969,3.990506666666666,1.0773756666666667,0.670294,3.3853066666666667,0.3755856666666666,3.46783,3.801183333333333,5.324666666666666,5.534543333333334,4.467946666666666,3.481883333333333,3.651673333333333,5.225003333333333,3.241086666666667,3.50708,5.88088,3.240963333333333,15.915166666666668,4.990123333333333,4.01933,4.04,5.43247,3.9287133333333335,3.8685366666666665,3.4895466666666666,4.779823333333333,4.910486666666666,2.2102,4.288446666666667,4.527966666666666,4.550126666666667,0.8697166666666667,2.9116733333333333,6.8174,2.9936366666666667,8.886086666666667,5.79025,1.4709966666666665,3.388765,2.5799366666666668,3.0094933333333334,3.78868,3.672103333333333,4.840996666666666,4.04503,4.75472,3.2078433333333334,2.42311,4.0194833333333335,5.2202633333333335,4.527053333333333,4.404956666666667,2.62565,1.2267906666666668,4.4228266666666665,2.7304433333333336,1.41242,2.648013333333333,3.133036666666667,2.73863,2.63156,2.084103333333333,2.46687,4.339346666666667,2.0353933333333334,0.8987276666666667,3.10412,3.1994966666666667,5.06241,6.02191,9.16821,5.58182,4.437096666666667,6.13101,5.64125,5.07429,3.856073333333333,4.887416666666667,4.75228,2.90092,4.1892933333333335,4.539873333333333,4.40503,2.63012,4.680793333333334,4.624473333333333,5.90729,4.98678,4.233543333333333,4.609676666666666,5.57158,4.63752,5.579211666666667,5.691333333333334,6.527076666666667,5.465023333333334,7.38994,5.756488333333333,5.761726666666666,6.400816666666667,7.987975,8.200066666666666,5.287513333333333,3.076026666666667,3.8990666666666662,4.8785,2.614116666666667,3.90163,1.7508033333333333,3.438753333333333,2.54837,1.85004,1.26761,1.7703033333333331,0.0,0.0,0.19219,0.207764,0.0,0.465941,0.0,0.0,0.0,0.0,0.0,0.0,7.899754866491566,8.18709750340632,0.0,7.895251231152459,0.0,0.0
0,Pbr041114.1,3.0,1.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,0.3983464248535269,39,0.0020897986757877,19.8852,9.989996666666666,7.72707,20.39966666666667,11.9181,14.6588,16.757533333333335,13.368633333333332,17.919166666666666,15.0056,13.813233333333333,16.591833333333334,17.9512,17.173866666666665,16.145166666666668,14.775733333333331,15.8223,13.9445,19.3864,18.93753333333333,16.7945,15.515433333333332,18.8603,17.071766666666665,20.169933333333333,20.69003333333333,19.2617,8.385636666666667,20.4844,20.4742,13.076346666666666,8.616233333333334,10.560633333333334,10.551933333333334,19.38663333333333,19.034066666666668,16.5568,13.368966666666669,16.34375,16.941866666666666,20.275866666666666,14.8009,16.915433333333333,16.7573,20.776566666666668,21.3191,17.1113,16.183866666666667,22.014333333333333,21.412166666666668,17.2861,11.918733333333334,12.2034,11.7509,12.8103,11.978033333333334,12.758466666666669,15.1902,13.75,15.5716,15.340633333333331,15.1969,15.5556,15.283733333333334,13.692166666666669,9.39471,17.0469,17.0908,16.76836666666667,13.410433333333334,14.5753,14.9256,16.924233333333333,15.002333333333333,14.0497,15.6821,13.2578,13.7141,12.4403,14.7237,15.6424,15.319566666666669,14.131,16.3549,16.872633333333333,14.0394,13.2748,16.5575,16.1062,14.150133333333333,13.0336,15.2301,10.446303333333333,8.524573333333333,14.656733333333332,14.793966666666666,14.532966666666669,12.416276666666668,14.6676,12.827933333333334,14.00425,15.175333333333333,15.558833333333334,10.746953333333334,10.6691,10.05555,8.097313333333332,10.455493333333331,7.884586666666666,7.65761,7.1869233333333336,6.0261000000000005,5.3821666666666665,6.411313333333333,22.073473,23.392511,18.74939,17.631887,19.400446,21.554337,15.940379,16.428282,16.396967,18.8764,17.175842,17.498522,10.36623612373698,10.093946723925564,10.272096998794005,10.336979775220644,10.362765126574264,10.270911639433756
1,Pbr013913.1,2.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,0.4021767454788666,126,0.0040032701396173,766.5323333333333,131.003,14.820033333333331,186.3,6.429433333333333,1255.59,621.8673333333334,86.07886666666667,44.9064,650.0773333333334,540.569,306.73533333333336,319.7923333333333,871.8313333333333,52.7536,99.26226666666666,24.680533333333333,253.59066666666664,842.4693333333333,854.3803333333333,683.498,147.83366666666666,56.4415,342.06666666666666,597.842,1421.8433333333337,25.1947,1.5719766666666666,40.58896666666666,1907.3166666666664,539.8436,4.88825,2.88812,346.8135666666667,981.2576666666666,158.593,127.89566666666668,26.654466666666664,326.11850000000004,415.00466666666665,304.81966666666665,52.97506666666667,173.428,514.7843333333333,438.77,409.496,205.3923333333333,380.427,612.277,642.5513333333333,82.57993333333333,160.449,52.780566666666665,13.220133333333331,215.48433333333327,116.9153,38.59206666666667,99.6136,76.10746666666667,41.56883333333333,126.50453333333331,208.11966666666663,286.12333333333333,389.6046666666667,57.337266666666665,3.37687,54.20726666666666,1106.5463333333332,920.345,945.972,959.958,1090.85,644.931,787.456,348.928,641.32,1297.45,1649.6133333333337,1339.53,1479.96,1115.22,1036.7083333333337,873.411,1177.4,908.665,1353.0266666666666,752.878,1087.42,810.0443333333334,881.08,598.487,1317.25,150.74066666666667,168.83133333333333,113.24643333333331,69.57876666666667,92.52453333333334,181.30983333333333,152.55833333333334,142.832,79.2822,149.84366666666668,50.55133333333333,38.24653333333333,29.777833333333334,12.063066666666666,4.67743,4.536536666666667,25.08413333333333,122.352,75.7465,23.4088,111.57233333333332,113.85633333333334,0.405943,0.131383,0.0,0.115191,0.26462,0.646624,0.111848,0.034938,0.105869,0.088568,0.249329,0.248553,9.920472917935914,9.802978855403623,9.156155261192817,9.727850195708607,9.602331340699843,9.413249456955203
0,Pbr005758.2,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.4337695918157034,76,0.0065612632015216,62.95473333333333,64.0078,14.3357,50.99393333333333,18.873833333333334,72.491,101.5726,44.64553333333333,33.878366666666665,51.0036,66.85546666666667,32.0477,52.9352,45.66376666666667,71.9761,90.8198,27.702233333333336,95.04223333333331,63.46906666666666,44.75143333333333,81.24796666666667,67.76043333333334,34.991166666666665,42.32763333333333,98.08706666666669,82.3175,64.10196666666667,27.753833333333333,62.49613333333333,38.56486666666667,109.42343333333334,42.939933333333336,84.47553333333333,119.07056666666666,79.64566666666667,85.79593333333334,131.09333333333333,124.98533333333332,42.5046,36.5234,69.67613333333334,90.8633,26.29433333333333,39.175,52.50816666666667,74.07323333333333,31.369066666666665,28.507,51.18783333333333,77.0908,44.05373333333333,37.75983333333333,22.210733333333334,41.641133333333336,26.0312,22.766666666666666,46.26903333333333,77.4482,49.6781,55.557433333333336,67.88716666666667,44.14736666666667,51.7603,39.63223333333333,29.4611,21.4787,20.892433333333333,28.4759,70.68733333333333,110.29266666666666,136.793,59.432,77.11376666666666,120.06366666666666,155.898,75.0193,37.8586,40.97586666666667,50.6162,36.2574,53.62386666666667,68.32363333333333,80.3676,36.2954,55.64966666666667,88.86296666666667,107.884,59.6337,55.64613333333333,99.55273333333334,124.638,58.9322,138.38616666666667,205.862,79.63586666666667,56.018233333333335,51.05673333333333,69.10196666666667,65.58070000000001,69.50863333333334,60.292,56.0761,58.1814,16.772433333333332,22.1822,35.87543333333333,21.71753333333333,36.0344,19.050866666666668,25.5125,24.03206666666667,20.788466666666665,18.2172,20.970766666666663,25.943491,26.318188,48.585148,43.777782,31.559324,35.158207,9.072812,7.733825,19.710127,20.750614,20.994423,20.587687,10.281397021871475,10.294532357363913,10.148479258194008,10.065803712612345,9.789185719500258,9.944132134086013
1,Pbr032130.1,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.4428090510893058,381,0.0139825926689737,21.398366666666668,6.240376666666667,24.270233333333334,32.109366666666666,16.011433333333333,105.68933333333334,68.88356666666667,6.702656666666667,20.944566666666667,65.01383333333334,116.531,91.5368,192.2023333333333,150.63666666666666,13.3159,75.89563333333334,39.594,261.981,143.973,107.56466666666668,137.08599999999998,11.171066666666666,23.707166666666662,54.7569,238.988,324.772,11.467033333333331,21.381466666666665,221.72033333333331,133.8528,95.9294,3.687566666666666,43.80586666666667,111.4515,71.37126666666667,134.78566666666666,160.45033333333333,18.761566666666667,55.72125,54.08416666666667,153.46133333333333,11.633533333333332,28.590533333333333,33.9281,63.549166666666665,90.45103333333331,27.963766666666668,17.57346666666667,59.472233333333335,85.69733333333333,11.619133333333334,11.794066666666666,21.950033333333334,70.83426666666666,11.6829,26.3525,71.04156666666667,29.78336666666667,33.934333333333335,78.01463333333334,31.690166666666663,35.36763333333333,64.7031,19.087966666666667,8.317226666666667,2.7546766666666667,12.952533333333331,30.2119,38.131033333333335,85.56053333333332,149.626,55.3132,39.1826,84.87506666666667,110.48,48.721,27.38423333333333,55.58056666666667,59.7658,30.7528,32.041799999999995,57.1288,87.4334,32.7251,41.57736666666667,76.86933333333333,140.766,52.9647,33.6084,69.1451,104.649,48.9422,30.324816666666667,33.42386666666667,27.43933333333333,15.6295,17.517633333333333,23.439725,8.743783333333333,26.7039,23.69285,15.629,15.152966666666666,7.172996666666667,11.543333333333331,15.910966666666669,14.849,80.96350000000001,52.74253333333333,67.2346,62.6519,47.6809,66.2595,59.150533333333335,9.815267,7.913485,3.058998,7.104918,8.992097,8.925591,16.500919,17.385281,2.953908,2.574934,1.95019,2.241298,9.087000121151446,9.418649250685231,9.671469062092292,10.08141932417094,10.380934463348767,10.388704955718483
