Gene,FT 15d,FT 25d,FT 55d,FT 85d,FT 115d,FS 145d
Pbr000163.3,,,,,,
Pbr000164.1,,,68227000.0,60592000.0,,51601000.0
Pbr000166.1,,107200000.0,106140000.0,,,115580000.0
Pbr000168.1,95116000.0,107970000.0,59324000.0,,,48889000.0
Pbr000169.1,,,,,,
Pbr000173.1,,457940000.0,367380000.0,554250000.0,511700000.0,687990000.0
Pbr000176.1,,36460000.0,,,,
Pbr000177.1,91981000.0,90678000.0,56656000.0,31784000.0,,
Pbr000179.1,,27081000.0,,,,
Pbr000180.1,,,,,,
Pbr000182.1,,,81002000.0,,,
Pbr000183.1,16213000.0,,15437000.0,,,
Pbr000185.1,388690000.0,524650000.0,555160000.0,486880000.0,,365620000.0
Pbr000187.1,,,,127400000.0,109800000.0,239310000.0
Pbr000191.1,994670000.0,1332600000.0,776260000.0,1228300000.0,954410000.0,1178200000.0
Pbr000195.1,47763000.0,,,,,
Pbr000197.1,,,56805000.0,61519000.0,79590000.0,73155000.0
Pbr000205.4,,,,,,322920000.0
Pbr000208.1,387970000.0,496980000.0,1640000000.0,2731500000.0,4308300000.0,5918900000.0
Pbr000209.1,901130000.0,214120000.0,179320000.0,567960000.0,117510000.0,301020000.0
Pbr000210.1,58546000000.0,47427000000.0,44653000000.0,13697000000.0,2214600000.0,1480300000.0
Pbr000214.1,1236700000.0,3118100000.0,2746300000.0,1741100000.0,968750000.0,999130000.0
Pbr000215.1,520470000.0,392310000.0,246940000.0,,,
Pbr000217.1,25290000000.0,5249000000.0,3512500000.0,6229000000.0,852740000.0,800750000.0
Pbr000218.1,36663000000.0,10262000000.0,6710900000.0,9775900000.0,2391500000.0,1258200000.0
Pbr000220.1,1054400000.0,290630000.0,251160000.0,85869000.0,,440570000.0
Pbr000222.1,1893000000.0,1743700000.0,2126100000.0,3141200000.0,3666500000.0,3556600000.0
Pbr000223.1,175160000.0,,109970000.0,,,
Pbr000227.1,128200000.0,154680000.0,158300000.0,263080000.0,284050000.0,130900000.0
Pbr000229.1,33417000000.0,30038000000.0,28228000000.0,26335000000.0,31076000000.0,48864000000.0
Pbr000230.1,,,,,,
Pbr000231.1,,,,26407000.0,,
Pbr000232.1,,,,,,
Pbr000237.1,,,,,,
Pbr000238.1,,,,,,
Pbr000240.1,,,,,,
Pbr000246.9,,865650000.0,756690000.0,739880000.0,,824180000.0
Pbr000251.1,34497000.0,26155000.0,,47246000.0,,115060000.0
Pbr000252.1,,,,,,
Pbr000256.1,14734000000.0,8768200000.0,17052000000.0,20852000000.0,31999000000.0,31828000000.0
Pbr000257.1,1010000000.0,895600000.0,711590000.0,586130000.0,36806000.0,332960000.0
Pbr000258.2,,,,,,
Pbr000262.1,,,,,,
Pbr000264.1,590980000.0,285590000.0,145200000.0,84102000.0,681930000.0,321190000.0
Pbr000267.1,,,,,,
Pbr000269.1,211930000.0,148770000.0,58191000.0,,,
Pbr000271.1,110560000.0,196450000.0,66081000.0,,,
Pbr000272.1,5249600000.0,3408100000.0,4457100000.0,6925900000.0,3827000000.0,6668700000.0
Pbr000274.1,76515000.0,254300000.0,105500000.0,125970000.0,,
Pbr000275.1,,20029000.0,,,,41910000.0
Pbr000276.2,3668500000.0,3441800000.0,2864700000.0,4667700000.0,4293600000.0,4178400000.0
Pbr000277.1,895990000.0,1702200000.0,2395200000.0,2084200000.0,3368200000.0,3439000000.0
Pbr000281.1,595490000.0,330700000.0,348470000.0,307710000.0,204510000.0,191590000.0
Pbr000282.1,1445600000.0,1237200000.0,1346300000.0,877350000.0,1049100000.0,942750000.0
Pbr000283.1,,,,,,
Pbr000284.1,180170000.0,201820000.0,346300000.0,523100000.0,881050000.0,1227000000.0
Pbr000285.1,139930000.0,159150000.0,142560000.0,108350000.0,61815000.0,62742000.0
Pbr000286.1,,,,,,
Pbr000287.1,1845000000.0,1352400000.0,1351700000.0,2071400000.0,2852200000.0,2088800000.0
Pbr000288.1,2228200000.0,3515600000.0,1825300000.0,1299000000.0,1219300000.0,1176900000.0
Pbr000289.1,,,71058000.0,110270000.0,,
Pbr000291.1,,257600000.0,,,,
Pbr000292.1,858050000.0,1605100000.0,1943300000.0,2159400000.0,4359600000.0,4228700000.0
Pbr000293.1,30671000000.0,25200000000.0,36458000000.0,44666000000.0,52187000000.0,54857000000.0
Pbr000294.2,1535400000.0,696320000.0,695070000.0,394730000.0,386410000.0,430340000.0
Pbr000295.1,,,,,,
Pbr000296.1,91982000.0,182680000.0,248340000.0,669650000.0,572620000.0,448280000.0
Pbr000299.1,353980000.0,93236000.0,104280000.0,133360000.0,152320000.0,89847000.0
Pbr000300.1,,,,,,
