Pbr015711.1	Pbr017475.3	287	558	19	0.06620209059233449	0.034050179211469536
Pbr015715.1	Pbr017479.1	23	84	0	0.0	0.0
Pbr015719.1	Pbr017484.1	210	45	18	0.08571428571428572	0.4
Pbr015720.1	Pbr017485.1	26	57	2	0.07692307692307693	0.03508771929824561
Pbr015721.1	Pbr017486.1	39	19	12	0.3076923076923077	0.631578947368421
Pbr015723.1	Pbr017488.1	723	226	58	0.08022130013831259	0.25663716814159293
Pbr015725.1	Pbr017490.1	85	38	1	0.011764705882352941	0.02631578947368421
Pbr015728.1	Pbr017491.1	210	145	19	0.09047619047619047	0.1310344827586207
Pbr015730.1	Pbr017492.1	618	177	78	0.1262135922330097	0.4406779661016949
Pbr015731.2	Pbr017493.1	824	202	6	0.007281553398058253	0.0297029702970297
Pbr015732.1	Pbr017495.1	31	69	2	0.06451612903225806	0.028985507246376812
Pbr015733.1	Pbr017496.1	1033	776	368	0.356243949661181	0.4742268041237113
Pbr015735.1	Pbr017497.1	32	40	4	0.125	0.1
Pbr015736.1	Pbr017498.1	135	103	4	0.02962962962962963	0.038834951456310676
Pbr015737.1	Pbr017500.1	40	30	2	0.05	0.06666666666666667
Pbr015738.1	Pbr017501.1	25	310	1	0.04	0.0032258064516129032
Pbr015742.1	Pbr017502.1	36	51	1	0.027777777777777776	0.0196078431372549
Pbr015743.1	Pbr017503.1	51	75	2	0.0392156862745098	0.02666666666666667
Pbr015744.1	Pbr017507.1	167	45	12	0.0718562874251497	0.26666666666666666
Pbr015745.1	Pbr017508.1	27	65	2	0.07407407407407407	0.03076923076923077
Pbr015746.1	Pbr017509.1	113	64	3	0.02654867256637168	0.046875
Pbr015747.1	Pbr017510.2	27	31	3	0.1111111111111111	0.0967741935483871
Pbr015748.1	Pbr017511.1	87	113	33	0.3793103448275862	0.2920353982300885
Pbr015749.1	Pbr017512.1	663	170	93	0.14027149321266968	0.5470588235294118
Pbr015750.1	Pbr017513.1	39	121	3	0.07692307692307693	0.024793388429752067
Pbr015751.1	Pbr017514.1	173	195	5	0.028901734104046242	0.02564102564102564
