Pbr000001.1	Pbr008389.1	118	447	27	0.2288135593220339	0.06040268456375839
Pbr000002.1	Pbr021603.1	9	103	0	0.0	0.0
Pbr000004.1	Pbr017567.1	57	26	8	0.14035087719298245	0.3076923076923077
Pbr000006.2	Pbr012529.1	21	42	0	0.0	0.0
Pbr000007.1	Pbr037594.1	443	643	205	0.46275395033860045	0.3188180404354588
Pbr000008.1	Pbr002646.1	35	374	0	0.0	0.0
Pbr000010.1	Pbr036172.1	136	104	0	0.0	0.0
Pbr000011.1	Pbr016220.1	14	18	0	0.0	0.0
Pbr000012.1	Pbr024054.2	586	22	0	0.0	0.0
Pbr000013.1	Pbr042435.1	70	652	5	0.07142857142857142	0.007668711656441718
Pbr000015.1	Pbr020820.1	107	39	10	0.09345794392523364	0.2564102564102564
Pbr000016.1	Pbr042687.1	118	34	4	0.03389830508474576	0.11764705882352941
Pbr000017.1	Pbr023228.1	1097	38	1	0.0009115770282588879	0.02631578947368421
Pbr000018.1	Pbr016664.1	137	531	2	0.014598540145985401	0.003766478342749529
Pbr000019.1	Pbr002156.1	78	78	1	0.01282051282051282	0.01282051282051282
Pbr000020.1	Pbr025728.2	1122	637	8	0.0071301247771836	0.012558869701726845
Pbr000021.1	Pbr017590.1	1083	770	42	0.038781163434903045	0.05454545454545454
Pbr000022.1	Pbr008587.1	145	1111	3	0.020689655172413793	0.0027002700270027003
Pbr000023.1	Pbr020508.1	292	835	4	0.0136986301369863	0.004790419161676647
Pbr000025.1	Pbr030333.1	130	58	0	0.0	0.0
Pbr000026.1	Pbr007486.1	209	56	0	0.0	0.0
Pbr000027.1	Pbr036870.1	1042	189	9	0.008637236084452975	0.047619047619047616
Pbr000028.1	Pbr017599.1	284	568	5	0.017605633802816902	0.008802816901408451
Pbr000029.1	Pbr017602.1	92	507	1	0.010869565217391304	0.0019723865877712033
Pbr000031.1	Pbr003036.1	304	38	2	0.006578947368421052	0.05263157894736842
Pbr000032.1	Pbr020511.1	93	135	1	0.010752688172043012	0.007407407407407408
Pbr000033.1	Pbr001141.1	34	1263	0	0.0	0.0
Pbr000036.1	Pbr020530.1	70	305	6	0.08571428571428572	0.019672131147540985
Pbr000038.1	Pbr000741.1	134	84	0	0.0	0.0
Pbr000044.1	Pbr029793.1	592	256	2	0.0033783783783783786	0.0078125
Pbr000046.1	Pbr005139.1	36	884	1	0.027777777777777776	0.0011312217194570137
Pbr000047.1	Pbr031105.1	45	66	2	0.044444444444444446	0.030303030303030304
Pbr000048.1	Pbr017619.1	854	23	1	0.00117096018735363	0.043478260869565216
Pbr000049.1	Pbr017619.1	330	23	1	0.0030303030303030303	0.043478260869565216
Pbr000050.1	Pbr038467.1	54	262	2	0.037037037037037035	0.007633587786259542
Pbr000051.1	Pbr024174.1	70	379	10	0.14285714285714285	0.026385224274406333
Pbr000052.1	Pbr019411.1	96	297	1	0.010416666666666666	0.003367003367003367
Pbr000053.1	Pbr031079.1	84	90	4	0.047619047619047616	0.044444444444444446
Pbr000055.1	Pbr017625.1	54	51	4	0.07407407407407407	0.0784313725490196
Pbr000058.1	Pbr010123.1	65	377	5	0.07692307692307693	0.013262599469496022
Pbr000059.1	Pbr031107.2	17	752	2	0.11764705882352941	0.0026595744680851063
Pbr000060.1	Pbr024696.1	85	43	0	0.0	0.0
Pbr000061.1	Pbr023226.1	79	74	0	0.0	0.0
Pbr000065.1	Pbr025917.1	808	830	18	0.022277227722772276	0.021686746987951807
