Gene,nnpredresult,baggingpredresult,lrpredresult,svmpredresult,xgbpredresult
Pbr009341.1,0.7771526724100113,0.6618333333333334,0.7331004458894037,0.7329243852744864,0.7239096522331238
Pbr000220.1,0.7981341809034348,0.5023333333333334,0.6499589811455649,0.5382204480224267,0.5313312664628029
Pbr042589.1,0.3616709694266319,0.5160000000000001,0.42205510612057207,0.3717691756572347,0.5123408436775208
Pbr032260.3,0.3218230605125427,0.5588333333333332,0.38365351803820935,0.38110508157849693,0.5425908684730529
Pbr037618.1,0.7543391168117524,0.8061666666666666,0.6869089577328177,0.7858310502799075,0.7628441751003265
Pbr016049.2,0.7802413806319237,0.6774999999999999,0.7006401837457029,0.6730037516661627,0.6688145816326141
Pbr005242.1,0.23538427650928498,0.22583333333333339,0.30566116102118557,0.24504525206196215,0.2894465018995106
Pbr018632.1,0.5126808360219002,0.3743333333333333,0.47266634078878234,0.4479473226761853,0.48083718344569204
Pbr001083.1,0.8905510902404785,0.7873333333333332,0.8504901868483138,0.7937808866578131,0.7314903244376183
Pbr028480.2,0.5111941367387771,0.5611666666666667,0.5081517449735292,0.5641597813556283,0.47352560311555864
Pbr033217.1,0.749091237783432,0.7395,0.722083559232218,0.7803878288707868,0.7430104881525039
Pbr035891.1,0.3982458397746086,0.6553333333333333,0.47844727414905774,0.49028792369512086,0.6003421671688557
Pbr024227.1,0.34150310456752775,0.25733333333333336,0.4149791871011854,0.3289054589017938,0.324538080021739
Pbr015057.3,0.25014555603265765,0.44233333333333336,0.3390622301097762,0.29892297944504465,0.29653511457145215
Pbr008846.1,0.33076006174087524,0.5246666666666666,0.4150077973883519,0.33376089859229413,0.6180742174386978
Pbr031277.1,0.609363742172718,0.6279999999999999,0.6198297386213405,0.6926486073501538,0.5591055393218994
Pbr041357.1,0.4372734174132347,0.2205,0.4819995146700468,0.4174439405376688,0.2737159412354231
Pbr001034.1,0.4878075048327446,0.625,0.5260292533555406,0.4981506531501513,0.6204648926854134
Pbr016508.1,0.6094418272376061,0.744,0.6291259464691346,0.6764012063318405,0.7170027375221253
Pbr003850.1,0.22585617005825043,0.2736666666666667,0.2905536897891158,0.2548289339326867,0.3204543648287654
Pbr033787.1,0.4646840989589691,0.6886666666666666,0.46430484869602806,0.4249811950751422,0.733109998703003
Pbr018634.1,0.43195823580026627,0.41033333333333344,0.4901115679719146,0.43441993785021005,0.44703230522572995
Pbr032272.1,0.33231464475393296,0.23516666666666666,0.39613430329499877,0.2985586534807765,0.31759636364877225
Pbr003457.1,0.707470279932022,0.7075,0.6669968165463305,0.7275682311822755,0.5597512900829316
Pbr003063.1,0.7486734449863434,0.6731666666666665,0.7253525612548841,0.7545955283420391,0.7529614299535752
Pbr033955.1,0.7983082354068756,0.6275000000000001,0.7721822328652963,0.7650170832355292,0.7540462583303451
Pbr006275.1,0.4606146037578583,0.677,0.4819139514592615,0.4481770986122619,0.771758234500885
Pbr026548.1,0.42656548619270324,0.4451666666666667,0.48157257763948086,0.48702494177839056,0.379536435380578
Pbr040141.1,0.6679372817277909,0.5293333333333333,0.6215099356872454,0.6704667164658549,0.40433970764279364
Pbr032482.1,0.3413617342710495,0.314,0.39908402740362187,0.3610637544790959,0.3116197269409895
Pbr037172.1,0.5640258714556694,0.7395,0.49174818633159223,0.45934364440288594,0.7548793911933899
Pbr001875.1,0.9828733116388321,0.3235,0.8848675634873471,0.7090752046472386,0.3735866561532021
Pbr027731.1,0.29464932680130007,0.4843333333333333,0.3894084401392973,0.3130120245319789,0.48241510689258577
Pbr001532.1,0.4341977804899216,0.5635000000000001,0.47972155714563647,0.6890797457500264,0.48088266104459765
Pbr004955.1,0.1927927865941456,0.2145,0.10874814319447235,0.6497157051279687,0.25707049961201844
Pbr032503.1,0.4490896061062813,0.3003333333333333,0.4950513444258541,0.5164006075634701,0.32307619638741014
Pbr004922.1,0.14233573228120805,0.2855,0.22374799549803917,0.3731002502142904,0.35979245747439564
Pbr028217.1,0.40351968109607694,0.5970000000000001,0.39908115140002465,0.3391495833507128,0.5850092440843582
Pbr019312.1,0.43094790577888487,0.6378333333333333,0.47766873158768935,0.4473786997894657,0.5989625245332718
Pbr009546.1,0.4194590777158737,0.36533333333333334,0.4511846534591582,0.388691034135381,0.371626865491271
Pbr037883.1,0.26942360699176787,0.322,0.34053880350124277,0.2991774271859339,0.29109752578660847
Pbr001233.1,0.611719436943531,0.2773333333333334,0.624312382078683,0.6592157186703427,0.3650583870708942
Pbr035617.1,0.4967592731118202,0.5566666666666666,0.5556669782348999,0.6260186511259274,0.5693955838680267
Pbr022331.1,0.6972004055976868,0.7221666666666666,0.6885716658752089,0.7516476206884439,0.7343105942010879
Pbr001065.2,0.554734393954277,0.6800000000000003,0.6022600134099442,0.6627576835107784,0.6284777164459229
Pbr013952.1,0.8699737191200256,0.7975000000000001,0.8191053588931722,0.7848632763867165,0.755669555068016
Pbr020391.1,0.27683591842651367,0.37016666666666664,0.3794366635292067,0.3848330356936916,0.29189603626728056
Pbr002075.1,0.4848337933421135,0.38483333333333347,0.5197238025378612,0.5909083100282112,0.35871396251022813
Pbr000832.3,0.15148058384656907,0.1915,0.06865809588857966,0.6981341143768761,0.28733657896518705
Pbr039116.1,0.9184237152338028,0.7053333333333335,0.8616585411255644,0.7752165893804264,0.6560545921325683
Pbr036171.1,0.8119674056768418,0.6273333333333333,0.7672213070677325,0.7679358000537962,0.750963819026947
